averageMonthlyHours,satisfaction,evaluation,yearsAtCompany,turnover
266,38,53,3,1
252,80,86,6,1
289,11,88,4,1
275,72,87,5,1
292,37,52,3,1
271,41,50,3,1
268,10,77,4,1
274,92,85,5,1
269,89,100,5,1
280,42,53,3,1
274,45,54,3,1
280,11,81,4,1
279,84,92,5,1
286,41,55,3,1
270,36,56,3,1
291,38,54,3,1
258,45,47,3,1
287,78,99,6,1
277,45,51,3,1
290,76,89,5,1
270,11,83,4,1
265,38,55,3,1
262,9,95,4,1
265,46,57,3,1
275,40,53,3,1
274,89,92,5,1
276,82,87,5,1
278,40,49,3,1
283,41,46,3,1
281,38,50,3,1
259,9,62,4,1
284,45,57,3,1
289,40,51,3,1
280,45,55,3,1
261,84,87,6,1
299,10,94,4,1
276,38,46,3,1
270,45,50,3,1
279,11,89,4,1
273,41,54,3,1
288,87,88,5,1
277,45,48,3,1
269,40,46,3,1
264,10,80,4,1
282,9,89,4,1
265,84,74,4,1
294,40,55,3,1
281,57,70,6,1
286,40,54,3,1
252,43,47,3,1
270,13,78,2,1
276,44,55,3,1
276,38,55,3,1
265,39,54,3,1
277,10,92,4,1
277,37,46,3,1
271,11,94,4,1
265,10,81,4,1
262,38,54,3,1
289,85,100,5,1
260,85,91,5,1
275,11,93,4,1
263,10,95,5,1
283,36,56,3,1
265,11,94,4,1
263,81,70,4,1
268,43,54,3,1
303,90,98,6,1
289,76,86,5,1
254,43,50,3,1
266,74,99,3,1
287,9,77,4,1
271,45,49,3,1
281,9,87,4,1
283,11,97,4,1
284,11,79,4,1
275,10,83,4,1
269,40,54,3,1
288,43,56,3,1
268,39,56,3,1
275,45,54,3,1
264,38,49,3,1
277,79,59,3,1
284,84,85,6,1
258,11,77,4,1
276,11,87,4,1
274,17,84,3,1
284,44,45,3,1
281,37,57,3,1
279,10,79,4,1
273,40,50,3,1
268,89,100,5,1
294,42,48,3,1
295,46,55,3,1
274,9,83,4,1
272,37,51,3,1
300,10,77,4,1
259,10,84,4,1
274,11,97,4,1
272,90,100,6,1
279,38,52,3,1
276,36,52,3,1
286,42,46,3,1
265,9,94,4,1
269,43,52,3,1
266,24,46,5,1
258,91,100,5,1
276,44,50,3,1
295,71,87,4,1
266,40,49,3,1
271,43,47,3,1
279,9,85,4,1
260,43,52,3,1
273,90,96,5,1
286,84,100,5,1
268,37,48,3,1
280,86,68,2,1
281,11,84,4,1
280,37,57,3,1
290,40,46,3,1
273,14,62,4,1
271,40,46,3,1
270,75,100,6,1
276,11,84,5,1
273,46,49,3,1
273,11,92,4,1
276,38,49,3,1
264,70,89,5,1
277,9,82,4,1
283,37,45,3,1
259,10,83,4,1
291,38,57,3,1
287,90,100,5,1
275,44,51,3,1
277,36,50,3,1
275,31,84,5,1
271,10,84,4,1
280,42,48,3,1
288,74,100,5,1
283,73,87,5,1
263,9,96,4,1
280,45,53,3,1
270,11,80,4,1
279,37,47,3,1
277,84,99,5,1
282,41,46,3,1
292,76,92,5,1
265,11,87,4,1
265,84,88,5,1
279,39,50,3,1
270,11,91,4,1
266,45,56,3,1
279,37,52,3,1
278,40,52,3,1
279,39,48,3,1
274,11,80,4,1
282,83,100,5,1
286,11,92,4,1
273,39,50,3,1
268,45,45,3,1
277,10,95,4,1
284,90,98,6,1
287,45,51,3,1
270,79,89,5,1
260,90,99,5,1
272,11,84,4,1
278,43,55,3,1
289,31,54,5,1
286,32,50,5,1
259,45,57,3,1
282,81,99,5,1
291,41,46,3,1
284,11,78,4,1
286,10,88,4,1
292,70,53,4,1
275,54,74,2,1
269,41,48,3,1
274,38,50,3,1
272,37,51,3,1
290,11,85,5,1
303,40,47,3,1
284,10,84,4,1
286,89,99,5,1
284,11,80,4,1
282,36,55,3,1
288,40,46,3,1
271,9,85,4,1
278,40,46,3,1
266,37,55,3,1
259,44,51,3,1
269,9,80,5,1
280,92,87,6,1
259,74,91,5,1
266,9,82,4,1
283,89,95,5,1
273,9,80,4,1
294,27,54,3,1
261,10,91,4,1
284,10,89,4,1
261,77,94,6,1
262,90,82,5,1
262,39,50,3,1
265,76,100,5,1
280,10,93,4,1
280,87,90,6,1
277,38,50,3,1
285,77,99,5,1
281,78,87,5,1
277,44,50,3,1
275,38,52,3,1
286,43,46,3,1
266,39,50,3,1
263,88,100,5,1
267,45,46,3,1
268,40,53,3,1
280,36,51,3,1
276,36,48,3,1
275,90,98,5,1
275,43,53,3,1
285,89,87,5,1
280,10,84,4,1
260,37,50,3,1
263,37,51,3,1
267,87,90,5,1
266,40,56,3,1
282,90,97,5,1
266,37,46,3,1
289,44,54,3,1
281,85,95,5,1
252,78,98,6,1
282,42,47,3,1
279,92,99,6,1
282,11,83,4,1
289,42,56,3,1
275,48,57,4,1
274,83,85,5,1
300,40,53,3,1
279,43,45,3,1
279,43,53,3,1
267,10,97,4,1
280,10,87,4,1
277,37,46,3,1
289,38,53,3,1
274,40,50,3,1
292,89,86,5,1
280,45,46,3,1
277,37,48,3,1
276,46,49,3,1
284,87,91,5,1
279,11,84,4,1
273,79,87,5,1
261,79,92,6,1
271,19,59,3,1
269,87,98,5,1
288,60,92,5,1
263,44,45,3,1
287,11,81,4,1
285,42,54,3,1
279,88,88,5,1
291,11,84,4,1
272,46,46,3,1
272,82,97,5,1
266,44,56,3,1
278,11,78,4,1
281,42,50,3,1
269,84,93,5,1
284,11,95,4,1
275,45,53,3,1
272,38,56,3,1
278,38,86,6,1
273,44,51,3,1
272,11,84,4,1
278,81,93,5,1
262,9,96,4,1
269,11,90,4,1
268,81,95,6,1
282,10,97,4,1
274,74,89,6,1
265,9,78,4,1
271,82,81,4,1
268,10,98,4,1
271,27,56,3,1
280,83,92,6,1
276,10,93,4,1
272,38,47,3,1
266,40,56,3,1
284,11,83,4,1
274,11,79,4,1
258,82,91,5,1
290,36,48,3,1
277,40,46,3,1
271,87,84,5,1
275,41,49,3,1
280,11,91,4,1
281,10,93,4,1
272,38,51,3,1
269,39,55,3,1
286,40,52,3,1
263,45,48,3,1
284,74,84,5,1
266,45,55,3,1
289,12,100,4,1
279,10,77,5,1
283,37,55,3,1
263,89,87,5,1
267,45,47,3,1
278,37,46,3,1
258,11,81,4,1
264,41,48,3,1
269,10,94,4,1
279,10,93,4,1
281,11,95,4,1
283,40,54,3,1
291,41,49,3,1
284,10,81,4,1
297,73,86,6,1
277,43,47,3,1
295,37,46,3,1
272,11,94,4,1
269,40,46,3,1
273,41,54,3,1
267,82,84,5,1
276,61,47,3,1
274,11,91,4,1
278,37,45,3,1
288,41,52,3,1
277,37,52,3,1
273,88,99,6,1
256,10,85,4,1
295,44,48,3,1
285,38,57,3,1
278,11,85,4,1
277,9,98,4,1
268,45,52,3,1
278,10,81,4,1
284,45,47,3,1
278,77,87,5,1
274,44,51,3,1
278,39,50,3,1
276,10,91,4,1
270,9,89,5,1
273,37,47,3,1
272,90,100,5,1
281,41,56,3,1
283,37,52,3,1
277,10,86,4,1
286,81,100,5,1
289,11,80,4,1
272,11,84,4,1
269,40,46,3,1
274,9,80,5,1
272,48,93,6,1
281,91,91,6,1
272,43,57,3,1
297,33,88,5,1
272,41,57,3,1
263,41,55,3,1
297,37,54,3,1
284,31,62,5,1
270,9,91,4,1
270,10,87,4,1
277,76,90,5,1
267,41,54,3,1
273,72,96,5,1
286,40,50,3,1
274,91,87,5,1
281,10,83,4,1
275,40,56,3,1
281,82,86,5,1
261,10,82,4,1
262,37,45,3,1
252,36,51,3,1
289,39,48,3,1
264,36,57,3,1
282,86,84,5,1
282,73,99,5,1
287,56,71,2,1
290,44,56,3,1
275,31,56,2,1
279,77,93,5,1
284,44,45,3,1
264,38,46,3,1
292,45,48,3,1
277,38,51,3,1
271,36,48,3,1
245,75,90,5,1
271,10,93,4,1
264,10,97,4,1
255,45,50,3,1
280,42,57,3,1
260,78,100,5,1
